SiteID,Latitude,Longitude,A_As,A_Pb,A_Se
5695,32.2937,-100.1685,8.50,17.80,0.30
5724,29.8837,-96.9207,1.80,12.70,<0.2
5752,33.9474,-99.2643,6.00,15.90,<0.2
5759,34.4657,-100.1738,2.80,11.90,<0.2
5816,32.9767,-98.1548,2.50,9.50,<0.2
5871,31.689,-103.8107,2.30,8.20,<0.2
5916,28.2021,-98.9251,#VALUE!,#VALUE!,#VALUE!
5951,31.6549,-100.322,5.10,11.40,0.20
5964,31.5201,-94.1676,56.10,21.70,0.70
5980,30.772,-95.949,3.50,37.60,0.30
6015,33.4663,-100.0371,6.00,18.40,0.20
6063,31.3942,-104.466,1.60,1.60,<0.2
6092,29.839,-99.7893,8.80,25.70,0.50
6136,32.7875,-96.4315,8.30,19.60,0.30
6156,31.244,-96.0616,77.30,40.40,0.90
6172,30.2335,-98.6368,4.80,13.20,<0.2
6271,32.837,-101.6462,7.40,20.50,<0.2
6276,29.3294,-103.6022,8.90,12.00,1.70
6328,32.0245,-97.736,#VALUE!,#VALUE!,#VALUE!
6392,33.1385,-95.0269,3.30,16.60,0.40
6412,31.9582,-95.9748,3.20,9.20,<0.2
6428,28.8242,-99.4298,4.40,12.70,<0.2
6492,29.4885,-95.1689,3.50,13.10,0.20
6507,35.9942,-101.8564,9.70,22.90,0.30
6527,34.0016,-102.4987,3.30,9.40,<0.2
6532,30.0927,-102.783,5.80,15.50,0.40
6584,32.1633,-99.2945,6.90,16.00,0.40
6596,30.488,-100.3497,8.00,20.80,0.40
6639,31.0402,-102.8887,5.80,8.10,0.90
6684,26.568,-98.022,2.20,9.50,<0.2
6719,31.827,-102.033,3.10,8.50,<0.2
6732,30.9329,-93.9728,1.20,7.50,<0.2
6748,30.4877,-97.2986,12.50,20.70,0.30
6776,33.3123,-99.7739,6.80,10.80,<0.2
6783,35.1026,-102.5436,7.90,17.40,0.30
6840,32.5102,-97.3185,13.40,20.20,0.40
6904,32.6874,-95.721,2.80,10.90,<0.2
6940,27.8716,-99.471,#VALUE!,#VALUE!,#VALUE!
6975,31.9195,-100.9384,7.40,13.20,0.30
6988,33.0269,-94.3051,2.20,10.30,<0.2
7004,28.6635,-97.1212,3.50,11.30,<0.2
7039,33.4404,-100.7701,4.50,10.60,0.20
7087,31.2798,-105.0486,6.50,14.10,<0.2
7116,29.6847,-98.3294,12.90,26.60,0.70
7160,32.196,-97.0219,12.20,14.30,0.50
7180,31.334,-96.9319,1.80,8.40,<0.2
7196,30.4114,-98.6233,4.10,15.60,0.30
7260,27.5739,-98.6805,3.40,10.70,<0.2
7275,35.7068,-100.1612,1.50,11.60,<0.2
7295,32.5541,-101.6149,5.20,11.70,<0.2
7352,31.3393,-98.9265,3.40,7.40,<0.2
7364,29.3127,-100.4241,8.70,275.00,0.60
7452,29.3311,-99.436,7.70,14.40,0.20
7480,29.506,-94.5053,4.70,12.90,<0.2
7487,32.3279,-100.9317,5.00,12.20,<0.2
7516,29.0105,-95.5973,5.40,14.60,<0.2
7531,36.0358,-102.3522,6.10,18.60,<0.2
7551,35.3146,-100.2529,6.50,14.60,<0.2
7556,30.8151,-103.8594,4.60,16.20,0.30
7608,32.7691,-99.027,9.30,16.80,0.30
7620,30.8087,-101.4201,10.80,20.30,0.30
7663,31.7485,-103.4826,1.90,7.30,<0.2
7708,26.3614,-98.5467,3.10,10.20,<0.2
7743,31.6946,-102.2759,3.60,12.70,<0.2
7756,31.7894,-93.9633,2.90,11.10,0.30
7772,30.1525,-95.9546,1.80,5.60,<0.2
7800,33.4603,-98.8123,5.10,11.20,<0.2
7807,34.5176,-102.7436,5.20,11.30,0.20
7864,33.1842,-97.4431,9.20,20.60,0.50
7884,30.6463,-98.743,3.60,16.90,0.30
7928,32.4671,-94.7756,5.80,111.00,0.40
